# N X AER AER'
0 -2.000000e-01 0.000000e+00 0.000000e+00
1 -1.984375e-01 0.000000e+00 0.000000e+00
2 -1.968750e-01 0.000000e+00 0.000000e+00
3 -1.953125e-01 0.000000e+00 0.000000e+00
4 -1.937500e-01 0.000000e+00 0.000000e+00
5 -1.921875e-01 0.000000e+00 0.000000e+00
6 -1.906250e-01 0.000000e+00 0.000000e+00
7 -1.890625e-01 0.000000e+00 0.000000e+00
8 -1.875000e-01 0.000000e+00 0.000000e+00
9 -1.859375e-01 0.000000e+00 0.000000e+00
10 -1.843750e-01 0.000000e+00 0.000000e+00
11 -1.828125e-01 0.000000e+00 0.000000e+00
12 -1.812500e-01 0.000000e+00 0.000000e+00
13 -1.796875e-01 0.000000e+00 0.000000e+00
14 -1.781250e-01 0.000000e+00 0.000000e+00
15 -1.765625e-01 0.000000e+00 0.000000e+00
16 -1.750000e-01 0.000000e+00 0.000000e+00
17 -1.734375e-01 0.000000e+00 0.000000e+00
18 -1.718750e-01 0.000000e+00 0.000000e+00
19 -1.703125e-01 0.000000e+00 0.000000e+00
20 -1.687500e-01 0.000000e+00 0.000000e+00
21 -1.671875e-01 0.000000e+00 0.000000e+00
22 -1.656250e-01 0.000000e+00 0.000000e+00
23 -1.640625e-01 0.000000e+00 0.000000e+00
24 -1.625000e-01 0.000000e+00 0.000000e+00
25 -1.609375e-01 0.000000e+00 0.000000e+00
26 -1.593750e-01 0.000000e+00 0.000000e+00
27 -1.578125e-01 0.000000e+00 0.000000e+00
28 -1.562500e-01 0.000000e+00 0.000000e+00
29 -1.546875e-01 0.000000e+00 0.000000e+00
30 -1.531250e-01 0.000000e+00 0.000000e+00
31 -1.515625e-01 0.000000e+00 0.000000e+00
32 -1.500000e-01 0.000000e+00 0.000000e+00
33 -1.484375e-01 0.000000e+00 0.000000e+00
34 -1.468750e-01 0.000000e+00 0.000000e+00
35 -1.453125e-01 0.000000e+00 0.000000e+00
36 -1.437500e-01 0.000000e+00 0.000000e+00
37 -1.421875e-01 0.000000e+00 0.000000e+00
38 -1.406250e-01 0.000000e+00 0.000000e+00
39 -1.390625e-01 0.000000e+00 0.000000e+00
40 -1.375000e-01 0.000000e+00 0.000000e+00
